Rank,RankO,Master_col,Name,Ranking_Agency,Year,Region,No. of FTE Students,No. of students per staff,International Students,Female_Ratio,Male_Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook
7,7,Princeton University,Princeton University,Times,2022,United States,"7,753",7.5,23%,47%,53%,93.6,89.5,96,99,88.8,80.7
8,8,"University of California, Berkeley","University of California, Berkeley",Times,2022,United States,"40,306",18.9,23%,51%,49%,92.2,85.7,96,99.1,84.7,77.6
9,9,Yale University,Yale University,Times,2022,United States,"13,317",5.9,21%,51%,49%,90.8,90.7,93,97,56.2,69.9
10,10,The University of Chicago,The University of Chicago,Times,2022,United States,"14,895",6.1,33%,46%,54%,89.8,87.2,90.6,98.3,56.3,74.4
11,11,Columbia University,Columbia University,Times,2022,United States,"21,608",4.6,35%,NA,NA,89.6,87.8,89.6,97.3,48,79.8
13,13,Johns Hopkins University,Johns Hopkins University,Times,2022,United States,"16,552",4.3,28%,52%,48%,88.4,80,90.8,97.2,93.7,74.6
13,13,University of Pennsylvania,University of Pennsylvania,Times,2022,United States,"21,211",6.4,22%,53%,47%,88.4,84.5,89.2,97.1,77.6,69.7
20,20,"University of California, Los Angeles","University of California, Los Angeles",Times,2022,United States,"42,054",10,17%,55%,45%,86.7,82.1,89.8,96,56.5,65.1
22,22,Cornell University,Cornell University,Times,2022,United States,"23,600",10.3,25%,50%,50%,85,78.6,85.4,97.2,38.3,75.4
23,23,Duke University,Duke University,Times,2022,United States,"15,785",4.2,22%,52%,48%,83.5,79.2,78.6,95.6,99,66.6
24,24,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,Times,2022,United States,"44,663",8.1,17%,50%,50%,83.1,78.6,85.4,94,48.9,59.5
24,24,Northwestern University,Northwestern University,Times,2022,United States,"18,735",13,19%,50%,50%,83.1,74.3,82.1,97.6,81.6,65.3
26,26,New York University,New York University,Times,2022,United States,"45,424",11,35%,57%,43%,82.4,75.4,83.1,94.7,41.4,72.3
28,28,Carnegie Mellon University,Carnegie Mellon University,Times,2022,United States,"14,163",13.5,47%,43%,57%,80.6,64.7,80,99,59,80.8
29,29,University of Washington,University of Washington,Times,2022,United States,"52,059",11.6,17%,54%,46%,79.8,68.8,78.8,99,46.3,61.7
34,34,"University of California, San Diego","University of California, San Diego",Times,2022,United States,"36,256",12.2,29%,48%,52%,77.7,60.5,75.6,97.9,96.6,68.1
45,45,Georgia Institute of Technology,Georgia Institute of Technology,Times,2022,United States,"27,838",25.7,25%,33%,67%,73.3,58.2,69.4,91.4,71.4,77.7
47,47,University of Texas at Austin,University of Texas at Austin,Times,2022,United States,"49,845",16.7,10%,53%,47%,72.9,67.9,71.5,89.4,50.1,39.8
48,48,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Times,2022,United States,"47,202",18.3,23%,48%,52%,72.6,65.7,77.3,80.9,50,55.4
51,51,Washington University in St Louis,Washington University in St Louis,Times,2022,United States,"14,243",7.9,22%,NA,NA,70.7,60.5,57.5,98.5,44.9,62.1
52,52,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Times,2022,United States,"31,064",8.1,8%,58%,42%,70.6,62.2,63.4,95.6,45,41.1
58,58,University of Wisconsin-Madison,University of Wisconsin-Madison,Times,2022,United States,"39,783",10.3,14%,NA,NA,69.8,67.4,69.5,79.2,47.5,50.4
62,62,Boston University,Boston University,Times,2022,United States,"27,785",11,29%,59%,41%,69.5,57.3,60.2,93.8,46.5,65.5
63,63,University of Southern California,University of Southern California,Times,2022,United States,"42,502",13.2,24%,49%,51%,69.3,62.1,58.8,90.3,41.2,65.5
64,64,Brown University,Brown University,Times,2022,United States,"9,851",10.6,20%,NA,NA,69.1,62.2,56.6,92.9,37.4,61.9
67,67,"University of California, Davis","University of California, Davis",Times,2022,United States,"37,222",13.2,19%,59%,41%,67.9,58.8,64.6,81.5,50.7,68.9
68,68,"University of California, Santa Barbara","University of California, Santa Barbara",Times,2022,United States,"25,578",28.2,19%,54%,46%,67.7,45.2,58.9,96.6,79.8,73.6
82,82,Emory University,Emory University,Times,2022,United States,"13,179",4.4,20%,60%,40%,65.1,55.1,44.9,98.1,48.2,59.7
85,85,Ohio State University (Main campus),Ohio State University (Main campus),Times,2022,United States,"55,809",12.4,13%,50%,50%,63.8,54.7,52.2,86.1,53.2,60.6
86,86,University of Minnesota,University of Minnesota,Times,2022,United States,"61,321",12,10%,54%,46%,63.7,55.9,57.9,81.7,80.4,40.8
93,93,"University of Maryland, College Park","University of Maryland, College Park",Times,2022,United States,"34,017",16.7,11%,48%,52%,63,49.3,56.8,89.8,39.3,42.9
93,93,Michigan State University,Michigan State University,Times,2022,United States,"45,689",16,14%,52%,48%,63,58.1,56.1,77.2,37.7,62
98,98,"University of California, Irvine","University of California, Irvine",Times,2022,United States,"35,944",17.1,28%,51%,49%,62.4,42.5,49,93.8,52,73.2
99,99,Dartmouth College,Dartmouth College,Times,2022,United States,"6,378",7.6,15%,49%,51%,62.3,60.1,40.2,93.6,38.9,41.7
105,105,Purdue University West Lafayette,Purdue University West Lafayette,Times,2022,United States,"43,411",16.6,21%,44%,56%,61.5,56.7,65.2,59.6,68.9,70.9
113,113,Vanderbilt University,Vanderbilt University,Times,2022,United States,"12,366",3,16%,55%,45%,61,48.6,43.8,94.1,56.9,48.7
119,119,Penn State (Main campus),Penn State (Main campus),Times,2022,United States,"46,513",14.1,16%,47%,53%,60.1,49.3,60.3,75.3,40.7,47.5
126,126,Case Western Reserve University,Case Western Reserve University,Times,2022,United States,"10,898",9.4,23%,50%,50%,59.4,47.6,41.7,91.9,41.7,53.8
127,127,University of Virginia (Main campus),University of Virginia (Main campus),Times,2022,United States,"25,377",9,13%,52%,48%,59.2,49.4,41.2,90.5,43.1,51
130,130,Georgetown University,Georgetown University,Times,2022,United States,"16,703",8.6,20%,54%,46%,59.1,55,35.3,88.8,70.2,48.9
132,132,Arizona State University (Tempe),Arizona State University (Tempe),Times,2022,United States,"48,255",19.7,18%,44%,56%,58.6,46.3,49.2,80.9,38.5,62.8
136,136,Rice University,Rice University,Times,2022,United States,"6,885",9.2,28%,43%,57%,58.5,47.3,37.5,87.2,44.2,77.8
140,140,University of Pittsburgh-Pittsburgh campus,University of Pittsburgh-Pittsburgh campus,Times,2022,United States,"26,841",5.6,12%,54%,46%,58.2,45.6,42.3,91.7,42.6,43.6
142,142,University of Rochester,University of Rochester,Times,2022,United States,"10,177",6.7,36%,49%,51%,57.9,44.9,39.3,86.4,50.5,73.1
150,150,University of Arizona,University of Arizona,Times,2022,United States,"39,616",17.3,10%,53%,47%,57.5,46.6,48,82.4,50.5,41.4
154,154,University of Florida,University of Florida,Times,2022,United States,"47,007",16.3,9%,56%,44%,57.3,54.5,58.9,62,58.4,42.7
158,158,University of Colorado Boulder,University of Colorado Boulder,Times,2022,United States,"35,491",16.6,10%,45%,55%,56.8,43.2,42.8,88.1,43.2,47.2
167,167,Indiana University,Indiana University,Times,2022,United States,"66,716",12.9,14%,53%,47%,56.3,48.9,46.4,74.7,52,54
168,168,"Northeastern University, US","Northeastern University, US",Times,2022,United States,"20,910",14.1,36%,48%,52%,56.1,38.3,29.1,97.4,37.8,76.2
172,172,Tufts University,Tufts University,Times,2022,United States,"11,152",9.9,16%,56%,44%,55.8,45.6,33,91.6,39.5,50.4
183,183,University of Notre Dame,University of Notre Dame,Times,2022,United States,"12,234",10.8,13%,46%,54%,54.9,51.2,43.2,70.7,39.7,59
190,190,Rutgers University - New Brunswick,Rutgers University – New Brunswick,Times,2022,United States,"44,870",10.8,17%,52%,48%,54.5,46.6,47.5,70.4,47.2,52.8
193,193,Texas A&M University,Texas A&M University,Times,2022,United States,"62,790",21.6,8%,47%,53%,54.3,47.4,51.1,64.6,46.5,56.1
201,201–250,"University of California, Santa Cruz","University of California, Santa Cruz",Times,2022,United States,"19,700",24.1,13%,48%,52%,50.4–53.9,31.5,31.2,96.7,42.1,65.6
201,201–250,George Washington University,George Washington University,Times,2022,United States,"23,375",12.7,18%,61%,39%,50.4–53.9,46.3,31.4,79,36,57.9
201,201–250,University of Massachusetts,University of Massachusetts,Times,2022,United States,"62,595",13.2,15%,49%,51%,50.4–53.9,36.5,29.4,90.2,52.6,64.4
201,201–250,University of Miami,University of Miami,Times,2022,United States,"16,479",10.3,16%,53%,47%,50.4–53.9,45.2,32.1,75.9,47.5,59.5
201,201–250,University of South Florida,University of South Florida,Times,2022,United States,"39,779",21.4,13%,NA,NA,50.4–53.9,30.2,35.9,85.8,91.2,55.1
251,251–300,Boston College,Boston College,Times,2022,United States,"12,958",15.1,12%,54%,46%,48.1–50.3,47.5,34.6,64.4,35.1,46.4
251,251–300,Brandeis University,Brandeis University,Times,2022,United States,"5,425",12.2,28%,59%,41%,48.1–50.3,28.2,21.7,99,35.6,57.5
251,251–300,University at Buffalo,University at Buffalo,Times,2022,United States,"27,114",17.9,16%,44%,56%,48.1–50.3,37.9,33.4,71.4,47.4,64.8
251,251–300,"University of California, Riverside","University of California, Riverside",Times,2022,United States,"23,155",17.7,14%,53%,47%,48.1–50.3,30.5,29.7,84.1,40.9,65
251,251–300,University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver/Anschutz Medical Campus,Times,2022,United States,"17,224",3.9,8%,57%,43%,48.1–50.3,35.1,19.4,94.8,42,31
251,251–300,Florida State University,Florida State University,Times,2022,United States,"39,380",24.7,7%,57%,43%,48.1–50.3,39,38,70.1,40.8,47.3
251,251–300,George Mason University,George Mason University,Times,2022,United States,"31,652",18.2,11%,53%,47%,48.1–50.3,32,28.5,84.9,36,48.5
251,251–300,University of Hawai’i at M?noa,University of Hawai’i at M?noa,Times,2022,United States,"14,789",10.7,11%,58%,42%,48.1–50.3,36.5,39.9,67.1,39.1,66.9
251,251–300,Howard University,Howard University,Times,2022,United States,"8,453",8,8%,72%,28%,48.1–50.3,43.9,16.1,95.7,34.8,35.4
251,251–300,University of Iowa,University of Iowa,Times,2022,United States,"29,591",11.5,9%,53%,47%,48.1–50.3,40.6,29.6,77.6,48.6,47.4
251,251–300,University of New Mexico (Main campus),University of New Mexico (Main campus),Times,2022,United States,"19,227",17.5,5%,56%,44%,48.1–50.3,39.4,29.1,80.1,42.8,34.1
251,251–300,Oregon Health and Science University,Oregon Health and Science University,Times,2022,United States,"3,017",1,3%,67%,33%,48.1–50.3,35.8,17.7,99.1,52.6,28.6
251,251–300,University of Utah,University of Utah,Times,2022,United States,"30,794",14.7,7%,48%,52%,48.1–50.3,37.2,30.7,81.8,51.2,33.1
251,251–300,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Times,2022,United States,"34,950",18.3,14%,43%,57%,48.1–50.3,35.8,36.5,74.3,48.4,56.4
301,301–350,"University of California, Merced","University of California, Merced",Times,2022,United States,"8,459",21.4,10%,52%,48%,46.1–48.0,22.7,23.9,94.9,40.9,44
301,301–350,University of Delaware,University of Delaware,Times,2022,United States,"21,916",16.6,10%,56%,44%,46.1–48.0,28.9,38.4,68.8,94.6,49.4
301,301–350,Hofstra University,Hofstra University,Times,2022,United States,"9,844",13.3,8%,57%,43%,46.1–48.0,37.1,16.4,94.6,34.8,30.2
301,301–350,University of Illinois Chicago,University of Illinois Chicago,Times,2022,United States,"28,089",11.5,19%,53%,47%,46.1–48.0,41.6,31.9,63.5,44.3,51.7
301,301–350,North Carolina State University,North Carolina State University,Times,2022,United States,"30,917",16,14%,47%,53%,46.1–48.0,39.3,37,60.5,46.2,53.6
301,301–350,Nova Southeastern University,Nova Southeastern University,Times,2022,United States,"17,431",16.1,6%,70%,30%,46.1–48.0,39.2,10.8,96.5,34.8,29.7
301,301–350,Rush University,Rush University,Times,2022,United States,"2,728",2.3,1%,74%,26%,46.1–48.0,40,15.8,90.9,45,21.6
301,301–350,Stony Brook University,Stony Brook University,Times,2022,United States,"24,830",10.7,22%,52%,48%,46.1–48.0,34.6,25.3,77.2,36.2,70.2
301,301–350,Temple University,Temple University,Times,2022,United States,"36,423",12.9,8%,54%,46%,46.1–48.0,38.4,24.6,79.4,34.8,38.9
301,301–350,The University of Tennessee-Knoxville,The University of Tennessee-Knoxville,Times,2022,United States,"26,721",16.6,4%,NA,NA,46.1–48.0,32.8,27.5,78.1,42.6,46.8
301,301–350,Wake Forest University,Wake Forest University,Times,2022,United States,"8,054",4.1,10%,53%,47%,46.1–48.0,39.1,18.9,85.6,45.4,33.7
301,301–350,William & Mary,William & Mary,Times,2022,United States,"8,272",11.3,9%,56%,44%,46.1–48.0,45.8,21.3,78.9,36.2,36.9
351,351–400,"Colorado State University, Fort Collins","Colorado State University, Fort Collins",Times,2022,United States,"26,464",16.2,6%,53%,47%,44.1–46.0,31.5,26.1,77.3,40.8,39.2
351,351–400,Drexel University,Drexel University,Times,2022,United States,"19,984",11.4,16%,50%,50%,44.1–46.0,35.2,21.9,76.2,42.5,51.7
351,351–400,University of Georgia,University of Georgia,Times,2022,United States,"37,190",16.8,7%,57%,43%,44.1–46.0,42.2,42.4,53.2,38.2,47
351,351–400,Illinois Institute of Technology,Illinois Institute of Technology,Times,2022,United States,"5,851",10.6,42%,37%,63%,44.1–46.0,41.8,20.6,62.9,38.6,74.1
351,351–400,University of Oregon,University of Oregon,Times,2022,United States,"22,034",10.5,8%,54%,46%,44.1–46.0,31,21.5,85.3,36.4,35.3
351,351–400,SUNY University at Albany,SUNY University at Albany,Times,2022,United States,"16,110",16.8,9%,55%,45%,44.1–46.0,25.2,22.7,84.3,43.5,49.9
351,351–400,Syracuse University,Syracuse University,Times,2022,United States,"20,573",15,21%,53%,47%,44.1–46.0,35.4,29.7,69.7,35.8,49.8
351,351–400,University of Texas at Dallas,University of Texas at Dallas,Times,2022,United States,"25,464",22.9,20%,43%,57%,44.1–46.0,24.9,28.1,80.6,40.7,56.6
351,351–400,Washington State University,Washington State University,Times,2022,United States,"29,326",19.3,7%,53%,47%,44.1–46.0,31.5,30.9,71.3,50.3,50.1
401,401–500,University of Alaska Fairbanks,University of Alaska Fairbanks,Times,2022,United States,"3,125",7.8,6%,52%,48%,40.9–44.0,27.8,24,73.7,46.9,57.9
401,401–500,Colorado School of Mines,Colorado School of Mines,Times,2022,United States,"6,226",17.4,10%,31%,69%,40.9–44.0,29.7,27.2,66.3,46.8,39
401,401–500,University of Connecticut,University of Connecticut,Times,2022,United States,"28,024",13.1,12%,52%,48%,40.9–44.0,36.6,29.5,61.4,38.2,54.5
401,401–500,University of Denver,University of Denver,Times,2022,United States,"9,624",12.7,7%,59%,41%,40.9–44.0,39.3,23.8,72.2,35.9,27.9
401,401–500,Georgia State University,Georgia State University,Times,2022,United States,"32,290",15.5,6%,59%,41%,40.9–44.0,32.9,25.9,65.8,36,44.5
401,401–500,Iowa State University,Iowa State University,Times,2022,United States,"31,013",17.9,11%,44%,56%,40.9–44.0,34.1,33.6,58.9,51.1,56.3
401,401–500,University of Kansas,University of Kansas,Times,2022,United States,"24,581",9.6,9%,53%,47%,40.9–44.0,36.4,25,67.3,45.7,48.7
401,401–500,Missouri University of Science and Technology,Missouri University of Science and Technology,Times,2022,United States,"8,898",22.8,11%,23%,77%,40.9–44.0,26,26.3,63.7,59.1,64.1
401,401–500,University of Nebraska-Lincoln,University of Nebraska-Lincoln,Times,2022,United States,"24,563",16.2,11%,48%,52%,40.9–44.0,30.9,26.9,62.8,38.6,54.9
401,401–500,University of South Carolina-Columbia,University of South Carolina-Columbia,Times,2022,United States,"32,997",15.9,6%,55%,45%,40.9–44.0,35.1,27.5,62.5,36.4,46.4
401,401–500,Tulane University,Tulane University,Times,2022,United States,"11,336",8,12%,58%,42%,40.9–44.0,40.4,22.6,68.1,36.8,44.4
401,401–500,Wayne State University,Wayne State University,Times,2022,United States,"22,598",11.8,6%,58%,42%,40.9–44.0,32.5,18.9,73.1,48.2,36.2
501,501–600,American University,American University,Times,2022,United States,"12,683",12,11%,62%,38%,38.1–40.8,40.2,17.4,65.4,41.4,34.3
501,501–600,Clark University,Clark University,Times,2022,United States,"3,020",11.4,22%,60%,40%,38.1–40.8,23.2,20.9,68.5,34.8,57.1
501,501–600,Florida International University,Florida International University,Times,2022,United States,"34,729",23,9%,58%,42%,38.1–40.8,32.1,27.8,62.4,35.6,40.3
501,501–600,University of Kentucky,University of Kentucky,Times,2022,United States,"26,483",11.5,4%,56%,44%,38.1–40.8,36.8,27.5,56.7,39.2,38.8
501,501–600,Mizzou - University of Missouri,Mizzou - University of Missouri,Times,2022,United States,"25,147",11.8,5%,54%,46%,38.1–40.8,36.3,26,56.3,39.4,43.9
501,501–600,University of Montana,University of Montana,Times,2022,United States,"7,962",14.9,2%,57%,43%,38.1–40.8,35.1,20.6,64,35.6,28.6
501,501–600,University of Nebraska Medical Center,University of Nebraska Medical Center,Times,2022,United States,"3,146",2.1,7%,68%,32%,38.1–40.8,35.3,12.3,71.5,38.7,44.1
501,501–600,New Jersey Institute of Technology,New Jersey Institute of Technology,Times,2022,United States,"9,447",14.3,26%,26%,74%,38.1–40.8,21.4,19.8,61.8,38.5,85.5
501,501–600,Northern Arizona University,Northern Arizona University,Times,2022,United States,"30,512",26.9,5%,62%,38%,38.1–40.8,22,15.1,86.3,35.4,35.1
501,501–600,Oklahoma State University,Oklahoma State University,Times,2022,United States,"21,626",14.8,6%,50%,50%,38.1–40.8,29.6,20.3,67.5,38.1,45.6
501,501–600,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Times,2022,United States,"7,800",15.6,20%,32%,68%,38.1–40.8,30.2,27.9,52.2,52,57.4
501,501–600,Saint Louis University,Saint Louis University,Times,2022,United States,"10,742",7.1,7%,60%,40%,38.1–40.8,37.8,16,61.5,37.3,33.8
601,601–800,The University of Alabama,The University of Alabama,Times,2022,United States,"35,800",21.6,4%,56%,44%,32.0–37.9,27,18.8,59,36.3,30.1
601,601–800,University of Alabama in Huntsville,University of Alabama in Huntsville,Times,2022,United States,"8,258",18.1,6%,45%,55%,32.0–37.9,23.2,20.4,53.9,72,42.3
601,601–800,University of Arkansas,University of Arkansas,Times,2022,United States,"25,527",20,5%,53%,47%,32.0–37.9,28.5,27.6,45.1,38.1,30.1
601,601–800,Auburn University,Auburn University,Times,2022,United States,"27,469",18.8,10%,50%,50%,32.0–37.9,31.1,22.7,47.5,41.8,48.1
601,601–800,University of Central Florida,University of Central Florida,Times,2022,United States,"61,044",36.3,4%,56%,44%,32.0–37.9,27.2,28.6,56.6,45.5,34.5
601,601–800,University of Houston,University of Houston,Times,2022,United States,"47,002",26.6,8%,51%,49%,32.0–37.9,33.1,25.8,50,36.6,43.5
601,601–800,University of Idaho,University of Idaho,Times,2022,United States,"9,565",15.8,8%,49%,51%,32.0–37.9,29.2,21.8,47.1,36.5,48.4
601,601–800,Lehigh University,Lehigh University,Times,2022,United States,"6,400",10.7,19%,45%,55%,32.0–37.9,28.8,21.3,53.4,38,65
601,601–800,Louisiana State University,Louisiana State University,Times,2022,United States,"28,656",19.9,6%,53%,47%,32.0–37.9,32.6,23.3,49.4,36.1,39
601,601–800,"University of Maryland, Baltimore County","University of Maryland, Baltimore County",Times,2022,United States,"11,663",17.1,9%,45%,55%,32.0–37.9,23.5,23.8,61.2,35.7,38.3
601,601–800,University of Missouri-St Louis,University of Missouri-St Louis,Times,2022,United States,"6,639",15.7,5%,58%,42%,32.0–37.9,29.6,18.9,53.5,44.9,39.9
601,601–800,Montana State University,Montana State University,Times,2022,United States,"14,153",17.6,3%,47%,53%,32.0–37.9,20.5,18.3,66.2,43.9,28.3
601,601–800,Northern Illinois University,Northern Illinois University,Times,2022,United States,"14,266",15.5,6%,51%,49%,32.0–37.9,27,16.2,50,35.6,48.1
601,601–800,Ohio University (Main campus),Ohio University (Main campus),Times,2022,United States,"23,940",21.7,4%,56%,44%,32.0–37.9,30.4,18.7,48.8,36.7,31.2
601,601–800,University of Rhode Island,University of Rhode Island,Times,2022,United States,"16,615",15.2,3%,57%,43%,32.0–37.9,23.3,17.4,66.2,34.9,43
601,601–800,San Diego State University,San Diego State University,Times,2022,United States,"31,221",28.1,8%,56%,44%,32.0–37.9,24.4,11.2,69.5,35.4,34.6
601,601–800,Stevens Institute of Technology,Stevens Institute of Technology,Times,2022,United States,"6,265",16.8,34%,29%,71%,32.0–37.9,22.5,18.2,62.3,37.4,72.6
601,601–800,SUNY Binghamton University,SUNY Binghamton University,Times,2022,United States,"18,442",22.9,12%,50%,50%,32.0–37.9,24.6,21.2,59.6,38.5,38.1
601,601–800,University of Texas at Arlington,University of Texas at Arlington,Times,2022,United States,"33,391",27.6,12%,60%,40%,32.0–37.9,21.6,18.9,54.7,41.6,44.5
601,601–800,The University of Texas at San Antonio,The University of Texas at San Antonio,Times,2022,United States,"27,066",25.2,3%,51%,49%,32.0–37.9,19.8,20.1,70.3,37.1,38.9
601,601–800,Texas Tech University,Texas Tech University,Times,2022,United States,"34,018",19.2,8%,47%,53%,32.0–37.9,27.9,19.1,48,36.1,52.8
601,601–800,University of Toledo,University of Toledo,Times,2022,United States,"18,217",14.9,10%,51%,49%,32.0–37.9,32.2,14,48.2,40.5,47
601,601–800,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,Times,2022,United States,"19,860",19.1,5%,54%,46%,32.0–37.9,22.5,22,59.7,36.9,33.7
601,601–800,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Times,2022,United States,"5,982",12.9,19%,37%,63%,32.0–37.9,24.4,19.3,50.1,37,52.6
601,601–800,University of Wyoming,University of Wyoming,Times,2022,United States,"10,787",14.7,6%,50%,50%,32.0–37.9,30.4,13.4,54.3,36.9,35.8
801,801–1000,Baylor University,Baylor University,Times,2022,United States,"18,242",15.6,7%,59%,41%,27.2–31.9,32.4,18.1,42.4,35.3,34.6
801,801–1000,Chapman University,Chapman University,Times,2022,United States,"9,060",12.7,7%,61%,39%,27.2–31.9,38.1,12.9,38.7,35.1,41.3
801,801–1000,Clarkson University,Clarkson University,Times,2022,United States,"4,466",15.7,10%,35%,65%,27.2–31.9,27.6,17.3,43,39.6,50.8
801,801–1000,Clemson University,Clemson University,Times,2022,United States,"22,785",16,7%,48%,52%,27.2–31.9,26.5,21.5,41.2,39.9,42.2
801,801–1000,Creighton University,Creighton University,Times,2022,United States,"8,749",13.5,4%,59%,41%,27.2–31.9,40.5,13.6,34.1,36.1,25.5
801,801–1000,Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,Times,2022,United States,"9,667",18.1,1%,66%,34%,27.2–31.9,34.9,12.6,33.2,35.4,31.6
801,801–1000,Florida Atlantic University,Florida Atlantic University,Times,2022,United States,"25,416",19.2,9%,58%,42%,27.2–31.9,20.1,18.5,43.7,40.4,46.5
801,801–1000,Florida Institute of Technology,Florida Institute of Technology,Times,2022,United States,"5,400",15.6,30%,35%,65%,27.2–31.9,28.1,16.6,32.9,39.4,54.9
801,801–1000,Kansas State University,Kansas State University,Times,2022,United States,"20,529",13.2,8%,50%,50%,27.2–31.9,26.6,21.1,43.4,41.4,47.3
801,801–1000,Kent State University,Kent State University,Times,2022,United States,"23,092",18.3,6%,61%,39%,27.2–31.9,23.6,18.3,41.8,35.6,40.2
801,801–1000,Marquette University,Marquette University,Times,2022,United States,"10,811",12.3,3%,55%,45%,27.2–31.9,35.3,16.3,38.3,37.1,27.2
801,801–1000,University of Memphis,University of Memphis,Times,2022,United States,"16,109",13.9,3%,59%,41%,27.2–31.9,26.2,17.4,45.7,36.3,25.4
801,801–1000,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",Times,2022,United States,"26,176",22.9,4%,57%,43%,27.2–31.9,29.8,24,40.7,35.4,31.1
801,801–1000,The New School,The New School,Times,2022,United States,"10,379",10.5,35%,72%,28%,27.2–31.9,25.1,15.9,40.4,39.8,50.7
801,801–1000,New Mexico State University (Main campus),New Mexico State University (Main campus),Times,2022,United States,"12,401",16,6%,56%,44%,27.2–31.9,24.1,20.3,43.8,38.9,38.1
801,801–1000,University of North Carolina at Charlotte,University of North Carolina at Charlotte,Times,2022,United States,"27,133",19.9,7%,48%,52%,27.2–31.9,19.9,10,65.2,34.8,33.5
801,801–1000,University of North Carolina at Greensboro,University of North Carolina at Greensboro,Times,2022,United States,"18,077",19.4,4%,71%,29%,27.2–31.9,24.2,19.3,50.7,35.6,24.1
801,801–1000,Old Dominion University,Old Dominion University,Times,2022,United States,"18,713",17.9,3%,56%,44%,27.2–31.9,23.4,19.2,43.7,34.8,31.1
801,801–1000,Portland State University,Portland State University,Times,2022,United States,"19,576",18.3,7%,56%,44%,27.2–31.9,22.9,20.1,38.5,36.1,30.3
801,801–1000,Rochester Institute of Technology,Rochester Institute of Technology,Times,2022,United States,"14,383",15.6,17%,35%,65%,27.2–31.9,20.5,19.1,42.4,36.2,41.1
801,801–1000,University of South Dakota,University of South Dakota,Times,2022,United States,"7,669",17.9,3%,59%,41%,27.2–31.9,33.7,16.2,33.9,35.7,25.3
801,801–1000,University of Texas at El Paso,University of Texas at El Paso,Times,2022,United States,"17,877",23.2,8%,53%,47%,27.2–31.9,20.6,24.4,38.5,34.8,42.7
801,801–1000,University of Texas Rio Grande Valley,University of Texas Rio Grande Valley,Times,2022,United States,"26,512",21.7,3%,59%,41%,27.2–31.9,17.3,11.4,53.2,35.2,34.5
1001,1001–1200,Bowling Green State University,Bowling Green State University,Times,2022,United States,"15,268",16.2,4%,56%,44%,22.4–27.1,20.6,13,45.5,34.8,26
1001,1001–1200,Georgia Southern University,Georgia Southern University,Times,2022,United States,"18,040",17.3,3%,57%,43%,22.4–27.1,22,13.4,31.6,40.1,28.7
1001,1001–1200,Mississippi State University,Mississippi State University,Times,2022,United States,"28,074",19.6,3%,52%,48%,22.4–27.1,20.8,18.1,38.8,39.8,29.6
1001,1001–1200,Morgan State University,Morgan State University,Times,2022,United States,"7,118",12.6,10%,56%,44%,22.4–27.1,21.2,10.6,39.5,35.1,47.1
1001,1001–1200,Oakland University,Oakland University,Times,2022,United States,"15,544",18.4,4%,57%,43%,22.4–27.1,29.3,14.8,28.1,35.1,33.3
1001,1001–1200,Rowan University,Rowan University,Times,2022,United States,"17,576",17.5,3%,47%,53%,22.4–27.1,24.8,8.1,42.1,35.5,30.7
1001,1001–1200,San Jose State University,San Jose State University,Times,2022,United States,"29,960",28.3,11%,52%,48%,22.4–27.1,19.1,13.1,33.3,35.3,42.7
1001,1001–1200,Texas State University,Texas State University,Times,2022,United States,"31,600",19.2,1%,59%,41%,22.4–27.1,21.6,16.8,29.7,38,34.4
1201,1201+,University of Colorado Colorado Springs,University of Colorado Colorado Springs,Times,2022,United States,"12,807",22,2%,54%,46%,10.6–22.3,17,12,23.8,35.9,26.2
1201,1201+,Grand Valley State University,Grand Valley State University,Times,2022,United States,"21,482",15.5,1%,61%,39%,10.6–22.3,29.7,9.1,19.9,34.8,28.8
1201,1201+,University of North Carolina Wilmington,University of North Carolina Wilmington,Times,2022,United States,"15,498",19.5,2%,63%,37%,10.6–22.3,16.8,8.7,33.7,35.2,28.5
1201,1201+,Purdue University Northwest,Purdue University Northwest,Times,2022,United States,"8,518",15.1,6%,55%,45%,10.6–22.3,16.1,9.1,23.9,34.8,34.6
1201,1201+,Western Kentucky University,Western Kentucky University,Times,2022,United States,"14,455",18,3%,60%,40%,10.6–22.3,22.8,10.4,13.9,34.9,23.6
1201,1201+,Western Michigan University,Western Michigan University,Times,2022,United States,"18,211",20.1,8%,51%,49%,10.6–22.3,20.7,14.8,22,35.3,36.3
,Reporter,Adelphi University,Adelphi University,Times,2022,United States,"7,148",12,7%,69%,31%,,,,,,
,Reporter,Full Sail University,Full Sail University,Times,2022,United States,"24,451",40.9,3%,31%,69%,,,,,,
,Reporter,Humboldt State University,Humboldt State University,Times,2022,United States,"6,658",16.7,1%,42%,58%,,,,,,
