,Rank_Times,RankO,Master_col,Name_Times,Ranking_Agency_Times,Year,Region_Times,No..of.FTE.Students,No..of.students.per.staff,International.Students,Female_Ratio,Male_Ratio,Overall_Times,Teaching,Research,Citations,Industry.Income,International.Outlook,Name_QS,Ranking_Agency_QS,Region_QS,Rank_QS,Classification_Size,Classification_Focus,Classification_Res,Classification_Age,Academic_Reputation_Score,Academic_Reputation_rank,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Employer_Reputation_rank,Faculty_Student_Score,Faculty_Student_Rank,Faculty_Student_rank,Citations_per_Faculty_Score,Citations_per_Faculty_rank,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_rank,International_Faculty_Rank,International_Students_Score,International_Students_rank,International_Students_Rank,Overall_QS,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
215,99,99,Dartmouth College,Dartmouth College,Times,2022,United States,"6,378",7.6,15%,49%,51%,62.3,60.1,40.2,93.6,38.9,41.7,Dartmouth College,QS,United States,45,M,FC,VH,5,19.5,435,435,30.1,318,318,71.8,179,179,90.1,56,56,1.7,601,601+,32.5,406,406,45.1,13,13,USNews,Dartmouth College ,NH,private,91,91,4.4,4,97%,96%,95%,-1,91%,265,9,63%,6%,7,7 to 1,15,1440,1560,93%,9%,16,42%
216,105,105,Purdue University West Lafayette,Purdue University West Lafayette,Times,2022,United States,"43,411",16.6,21%,44%,56%,61.5,56.7,65.2,59.6,68.9,70.9,Purdue University,QS,United States,32,XL,FC,VH,5,63.3,107,107,74.9,83,83,14.8,601+,601,77.6,109,109,55.8,270,270,50.6,287,287,56.9,49,49,USNews,Purdue University--West Lafayette ,IN,public,70,70,3.8,75,93%,78%,83%,5,77%,275,83,44%,19%,13,13 to 1,70,1190,1430,48%,67%,103,16%
217,113,113,Vanderbilt University,Vanderbilt University,Times,2022,United States,"12,366",3,16%,55%,45%,61,48.6,43.8,94.1,56.9,48.7,Vanderbilt University,QS,United States,47,L,FC,VH,5,25.9,326,326,23.1,408,408,100,3,3,31.7,418,418,14.1,469,469,35.9,384,384,41.7,14,14,USNews,Vanderbilt University ,TN,private,88,88,4.3,17,97%,96%,93%,-3,90%,288,17,57%,13%,8,8 to 1,8,33,35,90%,12%,12,28%
218,119,119,Penn State (Main campus),Penn State (Main campus),Times,2022,United States,"46,513",14.1,16%,47%,53%,60.1,49.3,60.3,75.3,40.7,47.5,Pennsylvania State University,QS,United States,27,XL,FC,VH,5,75.9,75,75,73.2,91,91,32.5,478,478,74.4,121,121,10,514,514,32.6,405,405,61.5,63,63,USNews,Pennsylvania State U.--Univ. Park,,public,67,67,3.7,48,93%,77%,86%,9,79%,351,255,34%,18%,14,14 to 1,158,1150,1340,,54%,52,10%
219,126,126,Case Western Reserve University,Case Western Reserve University,Times,2022,United States,"10,898",9.4,23%,50%,50%,59.4,47.6,41.7,91.9,41.7,53.8,Case Western Reserve University,QS,United States,40,M,FC,VH,4,19,450,450,21.7,425,425,86.3,103,103,75.9,112,112,41.3,321,321,74.1,176,176,48.2,42,42,USNews,Case Western Reserve Univ. ,OH,private,73,73,3.7,61,93%,90%,85%,-5,83%,202,32,63%,13%,11,11 to 1,31,1340,1520,70%,30%,39,16%
220,127,127,University of Virginia (Main campus),University of Virginia (Main campus),Times,2022,United States,"25,377",9,13%,52%,48%,59.2,49.4,41.2,90.5,43.1,51,University of Virginia,QS,United States,49,L,FC,VH,5,36.5,231,231,40.9,232,232,60.9,250,250,42,332,332,2.4,601,601+,13.9,601,601+,40.3,25,25,USNews,University of Virginia,,public,80,80,4.3,11,97%,95%,94%,-1,90%,297,37,52%,14%,14,14 to 1,24,1320,1510,90%,23%,41,17%
221,130,130,Georgetown University,Georgetown University,Times,2022,United States,"16,703",8.6,20%,54%,46%,59.1,55,35.3,88.8,70.2,48.9,Georgetown University,QS,United States,52,L,FC,VH,5,32.4,263,263,47.6,188,188,65.5,217,217,24.2,505,505,5.6,601,601+,51.5,283,283,38.7,23,23,USNews,Georgetown University ,DC,private,81,81,4.2,11,96%,96%,94%,-2,93%,297,28,60%,6%,11,11 to 1,24,1380,1550,83%,17%,32,25%
222,132,132,Arizona State University (Tempe),Arizona State University (Tempe),Times,2022,United States,"48,255",19.7,18%,44%,56%,58.6,46.3,49.2,80.9,38.5,62.8,Arizona State University,QS,United States,46,XL,CO,VH,5,45.3,177,177,41.4,229,229,9.1,601+,601,63.4,180,180,58.4,258,258,39.2,355,355,41.8,117,117,USNews,Arizona State University,,public,59,59,3.3,152,86%,65%,67%,2,59%,179,216,41%,17%,18,18 to 1,158,21,28,30%,88%,185,7%
223,136,136,Rice University,Rice University,Times,2022,United States,"6,885",9.2,28%,43%,57%,58.5,47.3,37.5,87.2,44.2,77.8,Rice University,QS,United States,26,M,FC,VH,5,40,209,209,29.4,327,327,78,149,149,93.1,46,46,89.1,174,174,88.5,121,121,62.3,17,17,USNews,Rice University ,TX,private,87,87,4.1,17,97%,94%,94%,NA,90%,265,14,69%,7%,6,6 to 1,8,1460,1570,92%,11%,22,30%
224,140,140,University of Pittsburgh-Pittsburgh campus,University of Pittsburgh-Pittsburgh campus,Times,2022,United States,"26,841",5.6,12%,54%,46%,58.2,45.6,42.3,91.7,42.6,43.6,University of Pittsburgh,QS,United States,41,L,FC,VH,5,42.3,194,194,18.8,475,475,97.5,48,48,43.9,322,322,2.6,601,601+,14.6,601,601+,48.1,288,288,USNews,University of Puerto Rico--Rio Piedras,,public,42,42,2.4,240,81%,54%,57%,3,,343,368,,,16,16 to 1,376,,NA,,49%,354,
225,142,142,University of Rochester,University of Rochester,Times,2022,United States,"10,177",6.7,36%,49%,51%,57.9,44.9,39.3,86.4,50.5,73.1,University of Rochester,QS,United States,36,M,FC,VH,5,25.2,336,336,18.9,474,474,99.8,25,25,52.6,258,258,57,264,264,95.3,79,79,50.3,187,187,USNews,University of Saint Joseph ,CT,private,51,51,2.2,214,80%,48%,56%,8,49%,95,62,71%,0%,7,7 to 1,318,970,1166,21%,78%,173,8%
226,150,150,University of Arizona,University of Arizona,Times,2022,United States,"39,616",17.3,10%,53%,47%,57.5,46.6,48,82.4,50.5,41.4,The University of Arizona,QS,United States,56,XL,FC,VH,5,41.3,203,203,23.1,408,408,61.4,245,245,22.4,530,530,9,531,531,14.3,601,601+,36.9,103,103,USNews,University of Arizona,,public,60,60,3.6,190,83%,68%,65%,-3,59%,143,176,36%,17%,15,15 to 1,124,21,29,35%,85%,81,8%
227,154,154,University of Florida,University of Florida,Times,2022,United States,"47,007",16.3,9%,56%,44%,57.3,54.5,58.9,62,58.4,42.7,University of Florida,QS,United States,43,XL,FC,VH,5,49.7,161,161,47.9,184,184,76.4,157,157,28.9,455,455,6.2,590,590,12.5,601,601+,46.9,28,28,USNews,University of Florida,,public,78,78,3.8,33,97%,84%,89%,5,86%,55,48,53%,9%,17,17 to 1,36,1290,1460,82%,31%,44,18%
228,158,158,University of Colorado Boulder,University of Colorado Boulder,Times,2022,United States,"35,491",16.6,10%,45%,55%,56.8,43.2,42.8,88.1,43.2,47.2,University of Colorado Boulder,QS,United States,53,XL,CO,VH,5,36.8,229,229,16.2,501+,501,36.9,431,431,68.8,150,150,7.7,556,556,9.1,601,601+,38.5,99,99,USNews,University of Colorado Boulder,,public,61,61,3.7,141,87%,74%,72%,-2,66%,343,189,50%,13%,18,18 to 1,124,1130,1350,26%,84%,89,5%
229,167,167,Indiana University,Indiana University,Times,2022,United States,"66,716",12.9,14%,53%,47%,56.3,48.9,46.4,74.7,52,54,Indiana University Bloomington,QS,United States,60,XL,FC,VH,5,37.8,222,222,28.1,349,349,33,467,467,35.2,392,392,26.5,381,381,12.4,601,601+,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,168,168,"Northeastern University, US","Northeastern University, US",Times,2022,United States,"20,910",14.1,36%,48%,52%,56.1,38.3,29.1,97.4,37.8,76.2,Northeastern University,QS,United States,63,L,CO,VH,5,20.7,402,402,14.9,501+,501,22.7,601+,601,46.7,303,303,68.2,233,233,94.9,86,86,31.9,49,49,USNews,Northeastern University ,MA,private,70,70,3.5,33,97%,88%,90%,2,90%,297,45,62%,6%,14,14 to 1,41,1410,1540,76%,20%,70,12%
231,172,172,Tufts University,Tufts University,Times,2022,United States,"11,152",9.9,16%,56%,44%,55.8,45.6,33,91.6,39.5,50.4,Tufts University,QS,United States,57,M,FC,VH,5,19.6,433,433,8.6,501+,501,73.9,168,168,50.7,275,275,17.8,424,424,35.7,385,385,36.5,28,28,USNews,Tufts University ,MA,private,78,78,3.8,17,95%,96%,94%,-2,93%,275,37,66%,7%,9,9 to 1,20,1380,1530,84%,16%,32,20%
232,183,183,University of Notre Dame,University of Notre Dame,Times,2022,United States,"12,234",10.8,13%,46%,54%,54.9,51.2,43.2,70.7,39.7,59,University of Notre Dame,QS,United States,48,L,CO,VH,5,28,302,302,44.8,210,210,66.5,213,213,51.1,271,271,10.4,505,505,20.3,543,543,40.9,19,19,USNews,University of Notre Dame ,IN,private,85,85,4.2,1,98%,97%,97%,NA,94%,335,18,59%,11%,8,8 to 1,18,32,35,90%,19%,25,38%
233,190,190,Rutgers University - New Brunswick,Rutgers University – New Brunswick,Times,2022,United States,"44,870",10.8,17%,52%,48%,54.5,46.6,47.5,70.4,47.2,52.8,Rutgers University–New Brunswick,QS,United States,55,XL,CO,VH,5,39.2,214,214,36.8,258,258,53.5,289,289,22.4,529,529,9.4,526,526,41.5,341,341,37.2,63,63,USNews,Rutgers University--New Brunswick ,NJ,public,67,67,3.4,65,93%,70%,84%,14,83%,51,239,39%,21%,16,16 to 1,107,1180,1410,30%,67%,64,6%
234,193,193,Texas A&M University,Texas A&M University,Times,2022,United States,"62,790",21.6,8%,47%,53%,54.3,47.4,51.1,64.6,46.5,56.1,Texas A&M University,QS,United States,42,XL,FC,VH,5,61.5,112,112,65,106,106,6,601+,601,68.6,152,152,11,500,500,15.6,601,601+,47.6,68,68,USNews,Texas A&M University,,public,66,66,3.7,65,93%,80%,83%,3,73%,192,315,26%,28%,19,19 to 1,64,1160,1380,66%,63%,97,16%
235,201,201–250,"University of California, Santa Cruz","University of California, Santa Cruz",Times,2022,United States,"19,700",24.1,13%,48%,52%,50.4 - 53.9,31.5,31.2,96.7,42.1,65.6,"University of California, Santa Cruz",QS,United States,65,L,CO,VH,4,19.7,429,429,5.7,501+,501,7.5,601+,601,89.1,61,61,52.6,277,277,17.8,570,570,31.4,103,103,USNews,University of California--Santa Cruz,,public,60,60,3.3,106,88%,83%,76%,-7,74%,12,324,21%,30%,25,25 to 1,56,1150,1370,94%,65%,125,2%
236,201,201–250,George Washington University,George Washington University,Times,2022,United States,"23,375",12.7,18%,61%,39%,50.4 - 53.9,46.3,31.4,79,36,57.9,George Washington University,QS,United States,66,L,FC,VH,5,27.2,312,312,32,300,300,34.3,456,456,33.5,404,404,20.8,408,408,46,313,313,31.1,63,63,USNews,George Washington University ,DC,private,67,67,3.6,75,91%,85%,85%,NA,83%,335,97,43%,12%,13,13 to 1,53,1270,1450,50%,43%,59,6%
237,201,201–250,University of Massachusetts,University of Massachusetts,Times,2022,United States,"62,595",13.2,15%,49%,51%,50.4 - 53.9,36.5,29.4,90.2,52.6,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,201,201–250,University of Miami,University of Miami,Times,2022,United States,"16,479",10.3,16%,53%,47%,50.4 - 53.9,45.2,32.1,75.9,47.5,59.5,University of Miami,QS,United States,60,L,FC,VH,4,24.2,348,348,28.9,337,337,62.5,237,237,29.3,450,450,16.5,439,439,36,383,383,33.7,55,55,USNews,University of Miami ,FL,private,69,69,3.4,65,92%,89%,83%,-6,78%,265,59,53%,8%,12,12 to 1,59,1250,1420,51%,33%,25,10%
239,201,201–250,University of South Florida,University of South Florida,Times,2022,United States,"39,779",21.4,13%,NA,NA,50.4 - 53.9,30.2,35.9,85.8,91.2,55.1,University of South Florida,QS,United States,97,XL,CO,VH,4,13.2,501,501+,14.8,501+,501,9.2,601+,601,46.5,304,304,29.7,365,365,23.9,490,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,251,251–300,Boston College,Boston College,Times,2022,United States,"12,958",15.1,12%,54%,46%,48.1 - 50.3,47.5,34.6,64.4,35.1,46.4,Boston College,QS,United States,86,L,CO,VH,5,22.3,377,377,21.6,426,426,29.8,514,514,29.1,453,453,4.9,601,601+,18.1,564,564,24.1,36,36,USNews,Boston College,,private,76,76,3.8,25,95%,94%,92%,-2,91%,275,28,65%,1%,11,11 to 1,31,1330,1500,79%,26%,59,21%
241,251,251–300,Brandeis University,Brandeis University,Times,2022,United States,"5,425",12.2,28%,59%,41%,48.1 - 50.3,28.2,21.7,99,35.6,57.5,Brandeis University,QS,United States,80,M,CO,VH,4,10.9,501,501+,4.5,501+,501,52.1,299,299,28.8,456,456,10.6,503,503,81.5,149,149,25.7,42,42,USNews,Brandeis University ,MA,private,73,73,3.7,39,92%,89%,89%,NA,90%,143,56,55%,10%,10,10 to 1,46,1320,1510,59%,34%,52,17%
242,251,251–300,University at Buffalo,University at Buffalo,Times,2022,United States,"27,114",17.9,16%,44%,56%,48.1 - 50.3,37.9,33.4,71.4,47.4,64.8,University at Buffalo SUNY,QS,United States,71,L,FC,VH,5,18.8,456,456,11.8,501+,501,6.9,601+,601,66.2,160,160,73.9,214,214,31.2,421,421,28.7,93,93,USNews,University at Buffalo--SUNY,,public,62,62,3.2,114,87%,66%,75%,9,71%,55,231,37%,20%,14,14 to 1,144,1140,1310,29%,67%,135,10%
243,251,251–300,"University of California, Riverside","University of California, Riverside",Times,2022,United States,"23,155",17.7,14%,53%,47%,48.1 - 50.3,30.5,29.7,84.1,40.9,65,"University of California, Riverside",QS,United States,72,L,FC,VH,4,17.9,475,475,9.3,501+,501,9.7,601+,601,65.9,161,161,81.2,197,197,10.7,601,601+,27.9,83,83,USNews,University of California--Riverside,,public,63,63,3.2,100,90%,73%,77%,4,77%,1,303,18%,34%,23,23 to 1,78,1060,1290,94%,66%,116,2%
244,251,251–300,University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver/Anschutz Medical Campus,Times,2022,United States,"17,224",3.9,8%,57%,43%,48.1 - 50.3,35.1,19.4,94.8,42,31,"University of Colorado, Denver",QS,United States,73,L,FC,VH,5,8.3,501,501+,8.5,501+,501,100,4,4,12.7,601,601+,1.5,601,601+,10.6,601,601+,27.4,227,227,USNews,University of Colorado Denver,,public,47,47,2.9,334,71%,58%,44%,-14,47%,55,324,44%,9%,18,18 to 1,256,995,1210,25%,66%,32,2%
245,251,251–300,Florida State University,Florida State University,Times,2022,United States,"39,380",24.7,7%,57%,43%,48.1 - 50.3,39,38,70.1,40.8,47.3,Florida State University,QS,United States,83,XL,FC,VH,5,28.3,298,298,38.9,243,243,9.8,601+,601,36,385,385,5.7,600,600,4.5,601,601+,25,55,55,USNews,Florida State University,,public,69,69,3.3,65,94%,73%,84%,11,80%,90,48,61%,11%,21,21 to 1,74,1220,1350,46%,32%,223,17%
246,251,251–300,George Mason University,George Mason University,Times,2022,United States,"31,652",18.2,11%,53%,47%,48.1 - 50.3,32,28.5,84.9,36,48.5,George Mason University,QS,United States,127,L,CO,VH,3,9.2,501,501+,8,501+,501,11.2,601+,601,16.3,601,601+,2.8,601,601+,13.1,601,601+,NA,148,148,USNews,George Mason University ,VA,public,55,55,3.2,130,87%,66%,72%,6,72%,120,336,34%,14%,17,17 to 1,172,1100,1300,16%,89%,234,2%
247,251,251–300,University of Hawai’i at M?noa,University of Hawai’i at M?noa,Times,2022,United States,"14,789",10.7,11%,58%,42%,48.1 - 50.3,36.5,39.9,67.1,39.1,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,251,251–300,Howard University,Howard University,Times,2022,United States,"8,453",8,8%,72%,28%,48.1 - 50.3,43.9,16.1,95.7,34.8,35.4,Howard University,QS,United States,102,M,FC,HI,5,6,501,501+,11,501+,501,66.5,212,212,4.4,601,601+,1,601,601+,6.8,601,601+,NA,83,83,USNews,Howard University ,DC,private,63,63,3.4,175,89%,62%,64%,2,59%,15,176,47%,7%,12,12 to 1,158,1130,1260,27%,39%,46,12%
249,251,251–300,University of Iowa,University of Iowa,Times,2022,United States,"29,591",11.5,9%,53%,47%,48.1 - 50.3,40.6,29.6,77.6,48.6,47.4,University of Iowa,QS,United States,80,L,FC,VH,5,20.7,399,399,14.9,501+,501,46.1,338,338,29.1,452,452,7,573,573,9.1,601,601+,25.7,83,83,USNews,University of Iowa,,public,63,63,3.6,121,87%,73%,72%,-1,62%,351,75,52%,14%,16,16 to 1,113,22,29,34%,84%,97,6%
250,251,251–300,University of New Mexico (Main campus),University of New Mexico (Main campus),Times,2022,United States,"19,227",17.5,5%,56%,44%,48.1 - 50.3,39.4,29.1,80.1,42.8,34.1,University of New Mexico,QS,United States,102,L,FC,VH,5,14.3,501,501+,7.6,501+,501,28.2,539,539,26.1,485,485,2.4,601,601+,4.9,601,601+,NA,196,196,USNews,University of New Mexico,,public,50,50,2.9,293,77%,61%,53%,-8,49%,113,117,49%,10%,11,11 to 1,273,17,25,,54%,74,
251,251,251–300,Oregon Health and Science University,Oregon Health and Science University,Times,2022,United States,"3,017",1,3%,67%,33%,48.1 - 50.3,35.8,17.7,99.1,52.6,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,251,251–300,University of Utah,University of Utah,Times,2022,United States,"30,794",14.7,7%,48%,52%,48.1 - 50.3,37.2,30.7,81.8,51.2,33.1,University of Utah,QS,United States,67,L,FC,VH,5,16.8,496,496,8.7,501+,501,64.9,222,222,46,307,307,8.9,532,532,10.1,601,601+,30.9,99,99,USNews,University of Utah,,public,61,61,3.3,147,90%,68%,67%,-1,58%,275,231,46%,16%,17,17 to 1,148,22,29,,79%,41,12%
253,251,251–300,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Times,2022,United States,"34,950",18.3,14%,43%,57%,48.1 - 50.3,35.8,36.5,74.3,48.4,56.4,Virginia Polytechnic Institute and State University,QS,United States,64,XL,FC,VH,5,28.5,297,297,28.9,334,334,24.6,586,586,41.1,336,336,56,269,269,24.5,480,480,31.6,75,75,USNews,Virginia Tech,,public,65,65,3.7,54,93%,78%,86%,8,80%,275,255,28%,24%,14,14 to 1,137,1170,1370,,67%,135,14%
254,301,301–350,"University of California, Merced","University of California, Merced",Times,2022,United States,"8,459",21.4,10%,52%,48%,46.1 - 48.0,22.7,23.9,94.9,40.9,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,93,USNews,University of California--Merced,,public,62,62,2.9,163,83%,47%,69%,22,68%,4,268,32%,28%,19,19 to 1,337,940,1140,,85%,109,6%
255,301,301–350,University of Delaware,University of Delaware,Times,2022,United States,"21,916",16.6,10%,56%,44%,46.1 - 48.0,28.9,38.4,68.8,94.6,49.4,University of Delaware,QS,United States,90,L,CO,VH,5,10.5,501,501+,10.8,501+,501,9.2,601+,601,66.6,157,157,21.8,403,403,17,582,582,NA,93,93,USNews,University of Delaware,,public,62,62,3.3,65,91%,78%,84%,6,73%,357,216,29%,18%,12,12 to 1,124,1170,1340,24%,63%,81,7%
256,301,301–350,Hofstra University,Hofstra University,Times,2022,United States,"9,844",13.3,8%,57%,43%,46.1 - 48.0,37.1,16.4,94.6,34.8,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,162,USNews,Hofstra University ,NY,private,54,54,2.9,190,82%,71%,65%,-6,54%,275,117,44%,2%,13,13 to 1,120,1160,1330,32%,69%,125,11%
257,301,301–350,University of Illinois Chicago,University of Illinois Chicago,Times,2022,United States,"28,089",11.5,19%,53%,47%,46.1 - 48.0,41.6,31.9,63.5,44.3,51.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,103,USNews,University of Illinois--Chicago,,public,60,60,3.1,225,80%,53%,63%,10,62%,8,239,29%,21%,18,18 to 1,200,1030,1250,32%,73%,46,2%
258,301,301–350,North Carolina State University,North Carolina State University,Times,2022,United States,"30,917",16,14%,47%,53%,46.1 - 48.0,39.3,37,60.5,46.2,53.6,North Carolina State University,QS,United States,59,L,CO,VH,5,30.4,276,276,23.8,406,406,14.3,601+,601,68.7,151,151,51.5,281,281,16.5,592,592,34.7,79,79,USNews,North Carolina State U.,,public,64,64,3.2,65,94%,80%,85%,5,81%,211,216,37%,18%,15,15 to 1,69,27,32,47%,46%,109,11%
259,301,301–350,Nova Southeastern University,Nova Southeastern University,Times,2022,United States,"17,431",16.1,6%,70%,30%,46.1 - 48.0,39.2,10.8,96.5,34.8,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,213,USNews,Nova Southeastern University ,FL,private,48,48,2.1,260,80%,64%,62%,-2,63%,59,97,63%,5%,17,17 to 1,207,1030,1240,28%,76%,116,3%
260,301,301–350,Rush University,Rush University,Times,2022,United States,"2,728",2.3,1%,74%,26%,46.1 - 48.0,40,15.8,90.9,45,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,301,301–350,Stony Brook University,Stony Brook University,Times,2022,United States,"24,830",10.7,22%,52%,48%,46.1 - 48.0,34.6,25.3,77.2,36.2,70.2,"Stony Brook University, State University of New York",QS,United States,69,L,FC,VH,4,20.1,420,420,10.3,501+,501,34.6,451,451,41,339,339,31.7,359,359,70.8,188,188,29.4,93,93,USNews,Stony Brook--SUNY,,public,62,62,3.3,106,90%,71%,76%,5,78%,30,315,38%,25%,19,19 to 1,74,1230,1440,44%,49%,97,4%
262,301,301–350,Temple University,Temple University,Times,2022,United States,"36,423",12.9,8%,54%,46%,46.1 - 48.0,38.4,24.6,79.4,34.8,38.9,Temple University,QS,United States,119,XL,FC,VH,5,13.7,501,501+,9.5,501+,501,24.2,592,592,21.5,538,538,1.6,601,601+,7.3,601,601+,NA,103,103,USNews,Temple University ,PA,public,60,60,3.1,117,89%,64%,75%,11,69%,132,157,40%,8%,13,13 to 1,154,1090,1280,36%,71%,147,5%
263,301,301–350,The University of Tennessee-Knoxville,The University of Tennessee-Knoxville,Times,2022,United States,"26,721",16.6,4%,NA,NA,46.1 - 48.0,32.8,27.5,78.1,42.6,46.8,"The University of Tennessee, Knoxville",QS,United States,93,L,FC,VH,5,10.9,501,501+,25.3,385,385,15.2,601+,601,58.4,215,215,1.9,601,601+,3.2,601,601+,NA,103,103,USNews,University of Tennessee,,public,60,60,3.3,130,87%,76%,71%,-5,61%,192,141,38%,14%,17,17 to 1,81,25,31,41%,78%,125,11%
264,301,301–350,Wake Forest University,Wake Forest University,Times,2022,United States,"8,054",4.1,10%,53%,47%,46.1 - 48.0,39.1,18.9,85.6,45.4,33.7,Wake Forest University,QS,United States,75,M,FC,VH,5,5.8,501,501+,8.1,501+,501,100,11,11,14,601,601+,2,601,601+,14.8,601,601+,26.9,28,28,USNews,Wake Forest University ,NC,private,78,78,3.7,36,94%,95%,89%,-6,82%,357,23,50%,1%,11,11 to 1,37,1290,1470,73%,32%,9,21%
265,301,301–350,William & Mary,William & Mary,Times,2022,United States,"8,272",11.3,9%,56%,44%,46.1 - 48.0,45.8,21.3,78.9,36.2,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,38,USNews,William & Mary ,VA,public,74,74,3.9,28,95%,94%,91%,-3,88%,351,56,49%,8%,12,12 to 1,34,1300,1490,77%,42%,109,23%
266,351,351–400,"Colorado State University, Fort Collins","Colorado State University, Fort Collins",Times,2022,United States,"26,464",16.2,6%,53%,47%,44.1 - 46.0,31.5,26.1,77.3,40.8,39.2,Colorado State University,QS,United States,76,L,CO,VH,5,19.5,437,437,20.9,436,436,59.4,257,257,20.6,548,548,10,515,515,6.6,601,601+,26.8,148,148,USNews,Colorado State University,,public,55,55,3.1,147,85%,68%,70%,2,60%,297,336,31%,24%,17,17 to 1,178,1070,1280,21%,84%,116,9%
267,351,351–400,Drexel University,Drexel University,Times,2022,United States,"19,984",11.4,16%,50%,50%,44.1 - 46.0,35.2,21.9,76.2,42.5,51.7,Drexel University,QS,United States,102,L,FC,VH,5,9.2,501,501+,7.3,501+,501,32.1,481,481,30.9,426,426,4.4,601,601+,22.2,513,513,NA,103,103,USNews,Drexel University ,PA,private,60,60,3,121,89%,69%,71%,2,65%,249,62,51%,9%,10,10 to 1,94,1180,1380,40%,77%,74,5%
268,351,351–400,University of Georgia,University of Georgia,Times,2022,United States,"37,190",16.8,7%,57%,43%,44.1 - 46.0,42.2,42.4,53.2,38.2,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48,USNews,University of Georgia,,public,71,71,3.7,43,95%,81%,87%,6,81%,202,72,46%,11%,17,17 to 1,56,1220,1400,56%,48%,116,13%
269,351,351–400,Illinois Institute of Technology,Illinois Institute of Technology,Times,2022,United States,"5,851",10.6,42%,37%,63%,44.1 - 46.0,41.8,20.6,62.9,38.6,74.1,Illinois Institute of Technology,QS,United States,79,M,CO,VH,5,15.1,501,501+,8,501+,501,14.2,601+,601,54.8,241,241,10.3,507,507,98.7,50,50,26.2,122,122,USNews,Illinois Institute of Technology,,private,58,58,2.9,121,90%,71%,72%,1,70%,82,107,43%,10%,10,10 to 1,86,1200,1390,41%,61%,147,5%
